ZIP,Town,Population,Zip_type
60047,Lake Zurich,41669,Non-Unique
60048,Libertyville,29095,Non-Unique
60060,Mundelein,37189,Non-Unique
60061,Vernon Hills,25748,Non-Unique
60064,North Chicago,15407,Non-Unique
60069,Lincolnshire,8384,Non-Unique
60073,Round Lake,60002,Non-Unique
60083,Wadsworth,9838,Non-Unique
60084,Wauconda,16771,Non-Unique
60085,Waukegan,71714,Non-Unique
60087,Waukegan,26978,Non-Unique
60089,Buffalo Grove,41533,Non-Unique
60096,Winthrop Harbor,6897,Non-Unique
60099,Zion,31104,Non-Unique
60030,Grayslake,36056,Non-Unique
60031,Gurnee,37947,Non-Unique
60035,Highland Park,29763,Non-Unique
60040,Highwood,5431,Non-Unique
60041,Ingleside,9250,Non-Unique
60042,Island Lake,8547,Non-Unique
60044,Lake Bluff,9792,Non-Unique
60045,Lake Forest,20925,Non-Unique
60046,Lake Villa,35111,Non-Unique
60002,Antioch,24299,Non-Unique
60010,Barrington,44095,Non-Unique
60015,Deerfield,26800,Non-Unique
60020,Fox Lake,9825,Non-Unique
